text,label
"Winnie mouse is a C57BL/6 strain from a N-ethyl-N-nitrosourea (ENU)-treated C57BL/6 founder line. It carries a unique missense mutation (G9492A, Accession AJ511872) resulting in a cysteine to tyrosine substitution in the D3-domain at the N-terminus of Mucin2 (Muc2).",pert
replicate 1;	LICR_HN2_PBS2,ctrl
Array Type: Rat230_2;	Amount to Core: 15;	Units of Amount: ul;	OD260: 1.743;	OD280: 0.932;	Ratio: 1.84;	Dilution: 1:5;	RNA Integrity Number: 8.8;	Bioanalyzer Results: Good;	Sample Preservation: Cells resuspended in RNAlater and stored at 4 degrees Centigrade;	Strain or Line: F344/NCrl;	NCBI Taxonomy ID: 10116;	Individual: 65;	Developmental State: Adult;	Sacrifice Method: Deep pentobarbital anesthesia followed by exsanguination;	Sex: Male;	Units of Age: weeks,ctrl
Rats were sacrificed six hours after the injection with methylprednisolone,pert
"patient: 227;	current medication: Asacol Prednisolone 5 Omeprazole Warfarin Cal VitD;	birth date: 4/17/28;	gender: M;	ethnicity: CAUCASIAN;	symptoms onset date: 1/1/90;	diagnosis date: 1/1/90;	joint problems: FALSE;	uc flare up: FALSE;	family history: FALSE;	aza treated: NO;	aza tolerant: FALSE;	aza at present: FALSE;	procedure date: 1/14/05;	indictation for procedure: ;	ucss: 3;	calprotectin: 0;	esr: 0;	crp: 0;	hb: 0;	wcc: 0;	neutrophils: 0;	albumin: 0;	blood obtained: TRUE;	ibd affected relatives: 0;	igr2096: ;	igr2198: ;	igr2230: ;	octn1: ;	octn2: ;	nod 702: ;	nod 908: ;	dlg5 133a: ;	nod 1007 fs: ;	diagnosis rectum: BOTH;	diagnosis recto sigmoid: BOTH;	diagnosis splen flex: BOTH;	diagnosis hep flex: BOTH;	diagnosis total: BOTH;	last followup date: 1/14/05;	followup rectum: BOTH;	followup recto sigmoid: BOTH;	followup splen flex: BOTH;	followup hep flex: BOTH;	followup total: BOTH;	casenote review date: 3/7/05;	category: FAILURE OF THERAPY;	smoking status: ex;	smoking start date: ;	smoking stop date: 1/1/72;	smoking amount: 5-14;	other illnesses: Prostate cancer 1985, Previous DVT's on warfarin;	disease: UC;	run_date: 8-9-01;	anatomic_location: ascending colon;	inflammation_status: Inflamed",pert
Male Sprague-Dawley (Crl:CD(SD)IGS Br;	Age: between 5 and 6 weeks old,pert
"Gene expression data from Vehicle treated, DAY 6, biological rep.2, MV4-11 cells",ctrl
"seminoma specimen, pT1, patient age: 40y; W00 047",pert
Bone marrow-derived macrophages from mice deficient in signaling adaptor molecule MyD88,pert
A673 cell line that has been treated with cytarabine (ARA-C) for 24 hours with concentration of 0.17 uM (EC50).,pert
"2102Ep cells SOX2 siRNA, biological replicate 1",pert
1705-383_24hr,pert
healthy CD4 T cells 9,ctrl
"Polyamide 1 treated LNCaP cells not stimulated with DHT, biological replicate 1",ctrl
Gene expression data from endocrine resistant breast cancer cell line LY4,pert
E81-/-SRFVP16-2,pert
"YFP+ cells marking precardiac mesoderm were FACS-sorted (w/wo stabilized Beta-catenin), and their total RNA was isolated, amplified and labeled with the NUGENE pico kit for microarray analyses. Mutant samples were obtained from YFP+ cells isolated from embryos with Isl1-cre, Rosa-YFP, Beta-catenin (loxP ex3). The mutants are conditional knockout mouse embryos that activates stable Beta-catenin in cardiac progenitors.",ctrl
Control_AF_4,ctrl
"Diabetic (STZ) rats were maintained during 5-6 weeks, without observing any variation in its hyperglycaemia;	Keywords = pancreas regeneration;	Keywords = STZ;	Keywords = diabetes;	Keywords = tungstate;	Keywords = insulin-like agents;	Keywords = beta cell plasticity;	Keywords = neogenesis",pert
WT1(-KTS) expression was induced for 4hrs and the expression profile of each time-points was compared to the uninduced sample (0 hr).,ctrl
phenotype: alcoholic;	gender: male;	case_id: 256;	age: 37;	tissue: postmortem hippocampus;	cirrhosis: Y;	smoker: No;	post-mortem-interval (hrs): 17;	brain ph at time of freezing: 6.33;	labeling_batch: 2,pert
Bone-Marrow_MGUS_G1702,pert
"fibroblast, control subject NM5 rep 1",ctrl
tissue: Biceps muscle;	patient: C.b.5;	diagnosis: Control;	treatment: None;	treatment time (rhgaa): --;	gender: F;	age at baseline: 2y;	motor status (52 weeks treatment): --;	change in glycogen content (52 weeks treatment): --;	response: --,ctrl
Replicate 3 GFP,ctrl
untreated; biological replicate 1,ctrl
"Transgenic for alpha tropomyosin slow, snap frozen, tibialis anterior muscle, 7month age animal",pert
Shn2_Mutant_1,pert
Sample 23,pert
SAMPLE 5;	replicate 2,ctrl
"fibroblast, control subject NM10 rep 2",ctrl
"fibroblast, MFS subject FB969 rep 5",pert
Affymetrix;	GeneChip Expression Analysis;	Technical manual;	Rev 3,ctrl
liver_Wt_female_35wk_rep1,ctrl
RE1_H8_1389_U133Plus2.0.CEL;	Gene expression data from human breast cancer,pert
"normal skeletal muscle, biological rep5",ctrl
E14 molar DMSO 1,ctrl
4 h,pert
Wild type saline rep2,ctrl
Zfx-flox TC1 ESC;	Cultured in 15% KO + LIF without feeders,ctrl
EGF 12h replicate 1,pert
A375 cells 24h Vemurafenib rep1,pert
Pan21.CEL (unavailable due to loss from servers);	Pancreatic Tumor,pert
normal 1112,ctrl
LOX1 Untreated 2hr 282295553,pert
duration of untreated disease in month:8.5;	age at onset:4.5,pert
01-0044A_Day1_3,pert
Sample 1 Posterior  -/-,pert
control participant P327,ctrl
"human failing LV myocardium, Ischemic47",pert
Dilated cardiomyopathy_G54,pert
"brain, hippocampus: Ctr-24h-P15-II_e1_le1",ctrl
Patient: A;	Time: 4 weeks;	Group: responder;	Condition: lesional,pert
gender: F;	age at blood draw: 55;	tissue: whole blood,pert
"205, MUSCLE, Before",ctrl
Large cell carcinoma 015,pert
"affected status (disease state): control;	gender: male;	age-at-examination: 69;	age-at-onset: n/a;	geographical origin: Vila-Real;	lifestyle characteristics: ever smoker, ever drinker",ctrl
BMM_BalbC_time0h,ctrl
KU_01T,pert
Kidney_Aqp11+/+_P7_4-2,ctrl
shRNA2-4-noDox-rep1,pert
"fibroblast, control subject NF6 rep 4",ctrl
age: 6 month postnatal;	tissue: cerebellum;	genotype: wild type (129S6/SvEvTac),ctrl
Sample is C57/Bl6 C3KO liver RNA extract after infected with 1st generation LacZ adenovirus (1.5x10E11 particles per mouse) at 6 hpi.,pert
